ID,Date,Symbol,Code,Company Name,Open Price,High Price,Low Price,Close Price,Volume,Previous Close
160,4-Jul-25,DCL-JUL,40,Dewan Cement,14.05,14.05,13.55,13.62,996000,13.93
161,4-Jul-25,DCL-SEP,40,Dewan Cement,0,0,0,14.03,0,14.35
162,4-Jul-25,DCR,836,Dolmen City,27.08,27.15,26.97,27.01,601901,27.08
163,4-Jul-25,DCR-AUG,40,Dolmen City,0,0,0,27.62,0,27.73
164,4-Jul-25,DCR-JUL,40,Dolmen City,0,0,0,27.23,0,27.33
165,4-Jul-25,DCR-SEP,40,Dolmen City,0,0,0,27.94,0,28.05
166,4-Jul-25,DEL,813,Dawood Equities,9.92,11.3,9.92,10.85,135150,10.5
167,4-Jul-25,DFML,801,Dewan Motors,36.99,37.59,36.35,36.76,3703583,36.69
168,4-Jul-25,DFML-AUG,40,Dewan Motors,0,0,0,37.6,0,37.57
169,4-Jul-25,DFML-JUL,40,Dewan Motors,36.5,37.85,36.5,37.01,836000,36.97
170,4-Jul-25,DFML-SEP,40,Dewan Motors,0,0,0,38.03,0,38
171,4-Jul-25,DFSM,830,Dewan Farooque Sp.,6.79,7.11,6.6,6.71,2724623,6.64
172,4-Jul-25,DGKC,804,D.G.K.Cement,161.18,163,160.5,162.52,2007289,161.18
173,4-Jul-25,DGKC-AUG,40,D.G.K.Cement,0,0,0,166.22,0,165.05
174,4-Jul-25,DGKC-JUL,40,D.G.K.Cement,161.07,163.84,161,163.45,461500,162.45
175,4-Jul-25,DGKC-SEP,40,D.G.K.Cement,0,0,0,168.13,0,166.95
176,4-Jul-25,DHPL,813,DH Partners Ltd.,37.37,37.98,37.01,37.94,6930,37.62
177,4-Jul-25,DIIL,818,Diamond Ind.,23.6,23.6,23.6,23.6,1100,23.6
178,4-Jul-25,DINT,830,Din Textile,86.1,86.1,86.1,86.1,10066,78.27
179,4-Jul-25,DLL,813,Dawood Law,255,259,229.09,249.91,327,252.83
180,4-Jul-25,DMC,830,D.M. Corporation Ltd,0,0,0,40.13,0,36.89
181,4-Jul-25,DMTM,830,Dewan Mushtaq,11.55,11.55,11.55,11.55,47506,10.5
182,4-Jul-25,DNCC,804,Dandot Cement,15.3,15.3,14.75,14.93,1036,14.99
183,4-Jul-25,DOL,805,Descon Oxychem,33.85,34.75,33.16,33.36,4601531,33.39
184,4-Jul-25,DSIL,830,D.S. Ind. Ltd.,5.87,5.98,5.61,5.89,297735,5.86
185,4-Jul-25,DSL,808,Dost Steels Ltd.,8.83,8.83,8.5,8.51,45234,8.83
186,4-Jul-25,DWAE,802,Dewan Auto Engg,34.99,34.99,32.5,32.73,6777,34.13
187,4-Jul-25,DWSM,826,Dewan Sugar,6.69,7.35,6.69,7.18,2553105,6.69
188,4-Jul-25,DWTM,830,Dewan Textile,6.99,6.99,6.84,6.85,700,6.87
189,4-Jul-25,DYNO,805,Dynea Pakistan,281.7,289.9,278,283.85,4452,281.81
190,4-Jul-25,ECOP,818,ECOPACK Ltd,62,67.25,60.9,64.13,1393205,61.81
191,4-Jul-25,EFERT,809,Engro Fertert,194.76,197.49,194,196.29,651715,194.55
192,4-Jul-25,EFERT-AUG,40,Engro Fertert,0,0,0,200.75,0,199.22
193,4-Jul-25,EFERT-JUL,40,Engro Fertert,195,197.4,195,197.4,3500,194.14
194,4-Jul-25,EFERT-SEP,40,Engro Fertert,0,0,0,203.07,0,201.51
195,4-Jul-25,EFUG,812,EFU General,121.91,122.98,119,119.2,13218,119.01
196,4-Jul-25,EFUL,812,EFU Life Assurance,152,153.5,150,151.54,22893,151.89
197,4-Jul-25,ELCM,830,Elahi Cotton,138.99,143,130,131.56,178,131.56
198,4-Jul-25,EMCO,803,EMCO Industries,45.04,48,45,46,4096,48.78
199,4-Jul-25,ENGROH,813,Engro Holdings,186.7,188.5,186.01,186.87,420031,188.43
200,4-Jul-25,EPCL,805,Engro Polymer,31.46,31.8,31.31,31.64,495393,31.47
201,4-Jul-25,EPCL-AUG,40,Engro Polymer,0,0,0,32.36,0,32.23
202,4-Jul-25,EPCL-JUL,40,Engro Polymer,31.4,32,31.4,31.92,80500,31.67
203,4-Jul-25,EPCLPS,805,Engro Poly (Pref),13.5,13.5,13.5,13.5,16,13.5
204,4-Jul-25,EPCL-SEP,40,Engro Polymer,0,0,0,32.73,0,32.6
205,4-Jul-25,EPQL,824,Engro Powergen,28.69,28.69,28.01,28.5,179502,28.45
206,4-Jul-25,ESBL,813,Escorts Bank,8,8.6,7.71,8.06,712328,7.69
207,4-Jul-25,EXIDE,802,Exide (PAK),851,859.8,826,852.62,10028,849.05
